# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.004        0.000      554.785      727.008
       0.118       40.250      563.414      720.934
       0.261       54.875      615.777      734.516
       0.389       57.292      613.250      731.434
       0.515       29.167      610.461      856.488
       0.641       35.417      614.969      860.941
       0.768       41.558      613.555      853.703
       0.896       33.333      612.043      852.922
       1.007       44.200      609.812      859.359
       1.135       34.375      611.363      860.781
       1.264       34.375      609.039      858.762
       1.390       33.333      615.551      861.598
       1.516       34.375      622.066      868.000
       1.643       35.417      611.406      859.777
       1.767       27.083      606.270      854.887
       1.894       33.242      581.496      833.215
       2.020       32.292      591.195      838.172
       2.146       30.208      581.461      826.020
       2.259       34.642      591.016      839.562
       2.383       14.583      580.078      827.676
       2.495       22.492      587.090      835.035
       2.606       23.892      589.254      834.004
       2.732       17.708      591.246      835.445
       2.859       38.542      598.586      843.418
       2.985       26.042      589.594      834.453
       3.096        5.975      589.633      834.484
       3.206        9.467      591.746      836.555
       3.319        9.375      591.836      836.621
       3.429        5.975      591.855      836.621
       3.540       15.392      584.988      835.012
       3.668        0.000      584.988      835.012
       3.793        0.000      584.988      835.012
       3.917        0.000      584.988      835.012
