# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000       67.266      136.707
       0.128        0.000       67.266      136.707
       0.254        0.000       67.266      136.707
       0.376        0.000       67.266      136.707
       0.493        0.000       67.266      136.707
       0.615        0.000       67.266      136.707
       0.744        0.000       67.266      136.707
       0.864        0.000       67.266      136.707
       0.977        0.000       67.266      136.707
       1.103        0.000       67.266      136.707
       1.227        0.000       67.266      136.707
       1.353        0.000       67.266      136.707
       1.479       14.583      100.590      471.992
       1.603       15.625      114.934      474.969
       1.713       11.833      125.730      480.113
       1.839       18.600      147.426      489.738
       1.965       28.125      165.598      496.227
       2.077       13.017      189.172      505.020
       2.188       14.333      198.156      503.277
       2.315        6.250      200.570      504.652
       2.444        4.167      201.402      505.348
       2.567        8.333      206.125      509.758
       2.691       23.958      210.668      514.188
       2.821       23.083      238.117      531.820
       2.944       29.867      267.184      560.391
       3.066       28.125      279.203      572.121
       3.191       23.958      292.883      634.547
       3.319       17.708      298.199      638.875
       3.442       15.625      304.348      644.734
       3.569       20.833      309.480      646.094
       3.694       11.458      308.012      639.238
       3.819       22.917      312.465      643.535
       3.946       17.708      315.152      646.027
       4.074       19.392      333.902      671.074
       4.198       31.250      339.359      677.430
       4.353       26.042      345.230      684.035
       4.481       33.242      360.414      682.285
       4.606       31.250      395.594      684.977
       4.734       36.458      402.250      691.086
       4.859       36.458      411.574      701.262
       4.988       37.500      415.359      705.035
       5.114       28.125      411.039      701.027
       5.239       54.167      417.883      708.051
       5.367       26.042      419.371      707.801
       5.493        9.375      439.008      709.695
       5.619       24.183      442.605      712.770
       5.746       35.417      445.000      714.605
       5.874       31.250      451.367      720.949
       5.998       33.333      446.832      717.211
       6.125       39.583      492.477      719.273
       6.253       36.458      493.945      721.461
       6.380       39.583      489.555      716.977
       6.506       36.458      498.004      725.031
       6.632       42.708      467.406      688.262
       6.759       36.942      482.230      703.613
       6.886       37.500      487.965      710.480
       7.009       38.542      482.707      703.676
       7.132       35.833      478.207      698.797
       7.260       46.175      492.684      710.320
       7.388       40.625      486.340      703.641
       7.516       37.500      488.156      705.516
       7.639       39.583      508.734      718.852
       7.764       34.375      496.051      704.012
       7.890       38.542      516.758      702.719
       8.017       35.417      521.871      708.582
       8.142       32.292      528.539      712.582
       8.269       36.458      525.688      710.121
       8.395       35.417      522.004      705.805
       8.522       41.667      534.445      716.504
       8.649       33.242      541.723      724.453
       8.776       33.450      535.285      718.480
       8.905       38.783      540.098      721.230
       9.032       35.417      542.664      723.672
       9.158       33.333      534.250      714.113
       9.284       33.333      544.371      724.758
       9.411       35.417      537.824      715.336
       9.536       33.333      535.141      713.656
       9.662       34.375      543.500      720.914
       9.789       33.483      547.465      724.371
       9.917       35.417      533.895      710.289
      10.043       41.667      541.684      719.328
      10.169       34.375      559.344      737.066
      10.297       33.333      550.070      727.945
      10.425       40.633      555.328      733.012
      10.565       41.433      556.469      733.852
      10.693       36.458      550.195      726.980
      10.819       34.375      552.426      728.871
      10.944       41.667      554.492      733.539
      11.070       34.167      555.496      735.352
      11.193       34.642      555.594      734.660
      11.319       34.375      551.473      731.652
      11.442       34.375      552.902      731.695
      11.568       30.208      554.195      732.117
      11.693       26.042      519.695      697.160
      11.820       12.500      517.645      695.211
      11.946       12.500      518.441      695.891
      12.074       18.467      525.145      703.055
      12.200       17.708      526.398      704.914
      12.325       11.458      526.629      705.137
      12.450        7.292      527.711      705.852
      12.576        3.125      527.883      705.961
      12.701        7.292      528.023      706.113
      12.827        9.375      528.359      712.402
      12.952        8.333      528.488      712.523
      13.078       14.583      528.449      711.848
      13.204        6.250      527.770      710.898
      13.332        0.000      527.770      710.898
      13.459        0.000      527.770      710.898
      13.580        0.000      527.770      710.898
