# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.004        0.000      174.785      869.027
       0.127       14.208      191.250      870.270
       0.249       37.500      205.348      873.309
       0.365       14.333      207.301      875.781
       0.487       19.792      206.332      874.629
       0.605       28.125      215.695      880.773
       0.728       23.958      236.113      902.227
       0.854       31.250      248.762      917.176
